Date,Value,iValue,rolling_14d,AdjustedValue,iAdjusted,rolling_14d_adjusted,USD_TL
2022-08-27,,44.63666666666667,43.08214285714286,,2.454911105489131,2.3694159722560504,18.1826
2022-08-28,,44.38333333333333,43.25,,2.4405354331285958,2.3782160904876855,18.1859
2022-08-29,44.13,44.13,43.35642857142857,2.4261649770193303,2.4261649770193303,2.383635815287565,18.1892
2022-08-30,,44.0025,43.4552806122449,,2.4186035007296622,2.3885255113678845,18.19335
2022-08-31,,43.875,43.546556122448976,,2.4110454732792963,2.392996627143782,18.1975
2022-09-01,,43.7475,43.63025510204081,,2.403299438007812,2.396858507728948,18.2031
2022-09-02,43.62,43.62,43.70637755102041,2.39496628818659,2.39496628818659,2.399708867800299,18.2132
2022-09-03,,43.78,43.79545918367347,,2.4028496105934676,2.40369808234929,18.220033333333333
2022-09-04,,43.94,43.897499999999994,,2.410727022015121,2.4083952992468993,18.226866666666663
2022-09-05,44.1,44.1,44.012499999999996,2.4185985290972214,2.4185985290972214,2.4137997224918695,18.2337
2022-09-06,,44.300000000000004,44.09892857142857,,2.429021044204893,2.4179960615550433,18.2378
2022-09-07,,44.5,44.15678571428572,,2.4400140369346843,2.4211949880623393,18.2376
2022-09-08,44.7,44.7,44.18607142857143,2.4497446127540172,2.4497446127540172,2.421579204494565,18.2468
2022-09-09,43.8,43.8,44.10821428571428,2.399697572360743,2.399697572360743,2.416583898232786,18.2523
2022-09-10,,43.78666666666666,44.0475,,2.3989933578419285,2.413283950887843,18.2521
2022-09-11,,43.77333333333333,44.00392857142857,,2.398289127889882,2.410923168077218,18.2519
2022-09-12,43.76,43.76,43.9775,2.3975848825040953,2.3975848825040953,2.409501580674677,18.2517
2022-09-13,,44.04,43.980178571428574,,2.4129523600799936,2.4096747429761156,18.2515
2022-09-14,44.32,44.32,44.011964285714285,2.4280541052850717,2.4280541052850717,2.411178487490716,18.2533
2022-09-15,,44.316,44.052571428571426,,2.4262930538902485,2.4118703868387685,18.2649
2022-09-16,,44.312,44.102,,2.424666903778282,2.413176110092747,18.2755
2022-09-17,,44.308,44.139714285714284,,2.424240213601016,2.4150327342305635,18.277066666666663
2022-09-18,,44.303999999999995,44.16571428571429,,2.423813596567212,2.4162481669333937,18.27863333333333
2022-09-19,44.3,44.3,44.18,2.4233870526580668,2.4233870526580668,2.4168225730571873,18.2802
2022-09-20,,44.4325,44.18946428571428,,2.428177957997016,2.4148963743716374,18.2987
2022-09-21,,44.565,44.19410714285714,,2.433716516942905,2.4134618760263846,18.3115
2022-09-22,,44.6975,44.19392857142857,,2.4387682167624223,2.4112925415038586,18.3279
2022-09-23,44.83,44.83,44.26749999999999,2.439966908322992,2.439966908322992,2.409351664380728,18.3732
